225 cells on 4 procs
64/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  1.6 d14=  0.4 d28=  0.4 || held-out d14tfi= 63.4 (fail) | fit_loss=  8791.7
65/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 33.6 d14= 35.6 d28= 35.6 || held-out d14tfi= 47.2 (fail) | fit_loss=  3732.5
66/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi= 61.8 (fail) | fit_loss=  9106.5
67/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 29.0 d14= 27.8 d28= 27.8 || held-out d14tfi= 53.6 (fail) | fit_loss=  3947.4
68/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 28.6 d14= 17.4 d28= 17.4 || held-out d14tfi= 63.0 (fail) | fit_loss=  3959.7
69/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 22.4 d14=  4.6 d28=  4.6 || held-out d14tfi= 62.4 (fail) | fit_loss=  5290.1
70/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 41.0 d14= 40.4 d28= 40.4 || held-out d14tfi= 47.6 (fail) | fit_loss=  3288.3
71/225 M1 pk=5.0e-04 t=1.0e-04 | d7=  8.2 d14=  0.4 d28=  0.4 || held-out d14tfi= 60.8 (fail) | fit_loss=  7689.5
72/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 42.8 d14= 38.0 d28= 38.0 || held-out d14tfi= 59.0 (fail) | fit_loss=  2953.3
73/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 45.2 d14= 31.2 d28= 31.2 || held-out d14tfi= 66.0 (fail) | fit_loss=  2390.7
74/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 48.2 d14= 25.0 d28= 25.0 || held-out d14tfi= 59.2 (fail) | fit_loss=  1983.0
75/225 M1 pk=5.0e-04 t=1.0e-04 | d7= 54.8 d14= 12.0 d28= 12.0 || held-out d14tfi= 60.8 (fail) | fit_loss=  1664.9
76/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 60.4 d14= 43.2 d28= 24.8 || held-out d14tfi= 74.6 (fail) | fit_loss=  1115.3
77/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 63.4 d14= 25.0 d28=  4.6 || held-out d14tfi= 84.0 (PASS) | fit_loss=   739.0
78/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 67.6 d14=  3.4 d28=  0.4 || held-out d14tfi= 88.2 (PASS) | fit_loss=  1492.1
79/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 68.2 d14=  0.0 d28=  0.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  1700.0
80/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 78.2 d14=  0.0 d28=  0.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  1396.0
81/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 74.0 d14= 58.4 d28= 41.0 || held-out d14tfi= 80.0 (PASS) | fit_loss=  1809.4
82/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 81.6 d14= 54.8 d28= 20.6 || held-out d14tfi= 84.0 (PASS) | fit_loss=   586.2
83/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 87.2 d14= 58.8 d28=  3.6 || held-out d14tfi= 86.6 (PASS) | fit_loss=   597.6
84/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 49.6 d28=  0.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=   293.3
85/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 79.6 d14= 70.4 d28= 51.8 || held-out d14tfi= 83.4 (PASS) | fit_loss=  3203.9
86/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 47.0 d28=  0.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=   223.6
87/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 83.4 d14= 74.4 d28= 47.0 || held-out d14tfi= 88.8 (PASS) | fit_loss=  3059.8
88/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 88.6 d14= 84.6 d28= 23.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  2677.5
89/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 89.4 d28=  6.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  2980.3
90/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 86.6 d28=  0.4 || held-out d14tfi= 86.6 (PASS) | fit_loss=  2743.4
91/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 81.4 d14= 74.4 d28= 61.0 || held-out d14tfi= 85.2 (PASS) | fit_loss=  4355.0
92/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 85.4 d14= 80.6 d28= 60.4 || held-out d14tfi= 88.0 (PASS) | fit_loss=  4780.7
93/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 86.6 d28= 50.6 || held-out d14tfi= 86.6 (PASS) | fit_loss=  4440.1
94/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 87.2 d28= 58.4 || held-out d14tfi= 86.6 (PASS) | fit_loss=  5218.6
95/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 86.6 d28= 41.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  3725.9
96/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 83.4 d14= 74.6 d28= 70.6 || held-out d14tfi= 85.2 (PASS) | fit_loss=  5445.1
97/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 88.2 d14= 84.4 d28= 70.4 || held-out d14tfi= 88.6 (PASS) | fit_loss=  6269.5
98/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 88.8 d28= 76.4 || held-out d14tfi= 86.6 (PASS) | fit_loss=  7505.3
99/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 86.6 d28= 82.8 || held-out d14tfi= 86.6 (PASS) | fit_loss=  8181.8
100/225 M1 pk=1.0e-03 t=2.5e-05 | d7= 86.6 d14= 86.6 d28= 85.8 || held-out d14tfi= 86.6 (PASS) | fit_loss=  8636.0
101/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 42.0 d14= 22.8 d28= 28.8 || held-out d14tfi= 63.2 (fail) | fit_loss=  2707.4
102/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 26.0 d14=  4.8 d28=  5.2 || held-out d14tfi= 64.6 (fail) | fit_loss=  4811.3
103/225 M1 pk=1.0e-03 t=5.0e-05 | d7=  4.6 d14=  0.4 d28=  0.0 || held-out d14tfi= 59.2 (fail) | fit_loss=  8286.6
104/225 M1 pk=1.0e-03 t=5.0e-05 | d7=  0.2 d14=  0.0 d28=  0.0 || held-out d14tfi= 53.0 (fail) | fit_loss=  9071.2
105/225 M1 pk=1.0e-03 t=5.0e-05 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi= 50.8 (fail) | fit_loss=  9106.5
106/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 60.4 d14= 43.2 d28= 36.2 || held-out d14tfi= 74.6 (fail) | fit_loss=  1614.7
107/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 63.4 d14= 25.0 d28= 17.0 || held-out d14tfi= 84.0 (PASS) | fit_loss=   793.6
108/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 67.6 d14=  3.4 d28=  2.6 || held-out d14tfi= 88.2 (PASS) | fit_loss=  1460.9
109/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 68.2 d14=  0.0 d28=  0.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  1700.0
110/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 72.6 d14= 56.2 d28= 47.8 || held-out d14tfi= 80.2 (PASS) | fit_loss=  2240.0
111/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 78.2 d14=  0.0 d28=  0.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  1396.0
112/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 77.8 d14= 48.6 d28= 31.4 || held-out d14tfi= 84.8 (PASS) | fit_loss=   819.9
113/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 90.0 d14= 15.8 d28=  1.2 || held-out d14tfi= 86.6 (PASS) | fit_loss=   422.1
114/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 87.0 d14= 33.4 d28= 10.8 || held-out d14tfi= 86.6 (PASS) | fit_loss=     9.0
115/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 75.2 d14= 65.4 d28= 53.2 || held-out d14tfi= 79.0 (PASS) | fit_loss=  3093.7
116/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 86.6 d14=  2.6 d28=  0.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  1120.5
117/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 80.2 d14= 68.4 d28= 54.6 || held-out d14tfi= 87.8 (PASS) | fit_loss=  3305.5
118/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 86.6 d14= 71.6 d28= 12.2 || held-out d14tfi= 86.6 (PASS) | fit_loss=  1363.1
119/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 86.6 d14= 85.0 d28=  1.2 || held-out d14tfi= 86.6 (PASS) | fit_loss=  2568.0
120/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 87.8 d14= 68.2 d28= 33.2 || held-out d14tfi= 86.6 (PASS) | fit_loss=  1714.4
121/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 77.6 d14= 68.6 d28= 60.2 || held-out d14tfi= 81.0 (PASS) | fit_loss=  3914.9
122/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 85.0 d14= 72.8 d28= 59.4 || held-out d14tfi= 89.0 (PASS) | fit_loss=  4028.6
123/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 90.0 d14= 82.6 d28= 56.0 || held-out d14tfi= 86.6 (PASS) | fit_loss=  4524.6
124/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 86.6 d14= 86.0 d28= 49.4 || held-out d14tfi= 86.6 (PASS) | fit_loss=  4279.1
125/225 M1 pk=1.0e-03 t=5.0e-05 | d7= 86.6 d14= 86.6 d28= 27.6 || held-out d14tfi= 86.6 (PASS) | fit_loss=  3037.1
126/225 M1 pk=1.0e-03 t=1.0e-04 | d7= 25.6 d14= 28.8 d28= 28.8 || held-out d14tfi= 49.0 (fail) | fit_loss=  4389.1
127/225 M1 pk=1.0e-03 t=1.0e-04 | d7=  4.8 d14=  5.2 d28=  5.2 || held-out d14tfi= 21.4 (fail) | fit_loss=  7882.6
128/225 M1 pk=1.0e-03 t=1.0e-04 | d7=  0.4 d14=  0.0 d28=  0.0 || held-out d14tfi=  5.6 (fail) | fit_loss=  9036.0
129/225 M1 pk=1.0e-03 t=1.0e-04 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi=  0.4 (fail) | fit_loss=  9106.5
130/225 M1 pk=1.0e-03 t=1.0e-04 | d7=  0.0 d14=  0.0 d28=  0.0 || held-out d14tfi=  0.0 (fail) | fit_loss=  9106.5
131/225 M1 pk=1.0e-03 t=1.0e-04 | d7= 42.0 d14= 36.2 d28= 36.2 || held-out d14tfi= 63.2 (fail) | fit_loss=  2916.4
132/225 M1 pk=1.0e-03 t=1.0e-04 | d7= 26.0 d14= 17.0 d28= 17.0 || held-out d14tfi= 64.6 (fail) | fit_loss=  4284.7
